演唱会名称,艺人,地点,时间,票价,链接
VYAN《群众演员的自我修养》巡回演出2024 珠海站,,珠海,2024.06.22 周六 20:00,159,https://detail.damai.com/item.htm?id=801554384573&clicktitle=VYAN《群众演员的自我修养》巡回演出2024 珠海站
【love story】Taylor Swift专场|霉霉粉丝派对——西安,,西安,2024.08.31 周六 20:00,88-268,https://detail.damai.com/item.htm?id=775876731822&clicktitle=【love story】Taylor Swift专场|霉霉粉丝派对——西安
【石家庄站】香蕉俱乐部乐队「十万八千梦」2024巡演,艺人：香蕉俱乐部乐队,石家庄,2024.06.22 周六 20:00,79-139,https://detail.damai.com/item.htm?id=785718770098&clicktitle=【石家庄站】香蕉俱乐部乐队「十万八千梦」2024巡演
【挪威的森林】起航乐队魔性情歌之夜演唱会--伍迷、小齐的经典歌曲|从“突然的自我”听到“伤心太平洋”,,苏州,2024.08.24 周六 20:00,158-358,https://detail.damai.com/item.htm?id=793638276815&clicktitle=【挪威的森林】起航乐队魔性情歌之夜演唱会--伍迷、小齐的经典歌曲|从“突然的自我”听到“伤心太平洋”
2024 东方琴缘 吉他演奏会巡演 深圳站,艺人：押尾光太郎、岸部真明,深圳,2024.08.13 周二 20:00,550-980,https://detail.damai.com/item.htm?id=800557216503&clicktitle=2024 东方琴缘 吉他演奏会巡演 深圳站
动物园钉子户「出发！浅滩公路疾行」2024巡演 常州站,艺人：动物园钉子户,常州,2024.08.21 周三 20:00,100-120,https://detail.damai.com/item.htm?id=795427030708&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 常州站
「传奇之声」皇后乐队致敬音乐会,,上海,2024.06.22 周六 20:30,180,https://detail.damai.com/item.htm?id=797843203090&clicktitle=「传奇之声」皇后乐队致敬音乐会
Sow.遍地开花HipHop派对 乌鲁木齐站,,乌鲁木齐,2024.07.06 周六 21:00,98-138,https://detail.damai.com/item.htm?id=804174455654&clicktitle=Sow.遍地开花HipHop派对 乌鲁木齐站
昨日的聚会——惘闻25周年 巡演 南京站,艺人：惘闻乐队,南京,2024.06.25 周二 20:00,160-220,https://detail.damai.com/item.htm?id=788566323222&clicktitle=昨日的聚会——惘闻25周年 巡演 南京站
脑浊乐队2024年“SOS”夏季巡演 乌鲁木齐站,,乌鲁木齐,2024.08.03-08.04,100-240,https://detail.damai.com/item.htm?id=798948806907&clicktitle=脑浊乐队2024年“SOS”夏季巡演 乌鲁木齐站
永恒乐队--追忆家驹致敬BEYOND Unplugged不插电演唱会,,佛山,2024.07.06 周六 20:00,100-368,https://detail.damai.com/item.htm?id=782432886660&clicktitle=永恒乐队--追忆家驹致敬BEYOND Unplugged不插电演唱会
胡海泉2024「春风归来了无痕」全国巡演（杭州站）,,杭州,2024.07.06 周六 20:00,288-488,https://detail.damai.com/item.htm?id=778316392433&clicktitle=胡海泉2024「春风归来了无痕」全国巡演（杭州站）
“传奇再现”MJ迈克尔·杰克逊 15周年纪念日专场音乐会,,上海,2024.06.25 周二 19:30,80-380,https://detail.damai.com/item.htm?id=777505680498&clicktitle=“传奇再现”MJ迈克尔·杰克逊 15周年纪念日专场音乐会
EROS爱洛 · SCREAM MISSION 0.5：RETURN厦门电音回归派对,,厦门,2024.06.14-06.15,98-168,https://detail.damai.com/item.htm?id=799733241495&clicktitle=EROS爱洛 · SCREAM MISSION 0.5：RETURN厦门电音回归派对
隔壁团2024全国巡演（北京站）,,北京,2024.09.21 周六 20:30,120-330,https://detail.damai.com/item.htm?id=799436052990&clicktitle=隔壁团2024全国巡演（北京站）
「时光机4」经典翻唱音乐会,,南京,2024.06.28 周五 19:00,17.01-200,https://detail.damai.com/item.htm?id=798694381192&clicktitle=「时光机4」经典翻唱音乐会
暗杠「走歌人2024」巡演 杭州站,艺人：暗杠,杭州,2024.06.21 周五 20:00,128-318,https://detail.damai.com/item.htm?id=778425624901&clicktitle=暗杠「走歌人2024」巡演 杭州站
潮池蓝2024[今夜睡大街]巡演 宁波站,艺人：潮池蓝,宁波,2024.06.27 周四 20:00,110,https://detail.damai.com/item.htm?id=799327489499&clicktitle=潮池蓝2024[今夜睡大街]巡演 宁波站
艾薇儿&歌后联盟摇滚传奇致敬之夜,,上海,2024.06.29 周六 20:30,120,https://detail.damai.com/item.htm?id=798789107016&clicktitle=艾薇儿&歌后联盟摇滚传奇致敬之夜
隔壁团2024全国巡演（广州站）,,广州,2024.06.22 周六 20:30,120-330,https://detail.damai.com/item.htm?id=801164248393&clicktitle=隔壁团2024全国巡演（广州站）
上海｜6.7 &6.15 爵士之夜，非洲风情！燃情演绎Sound of Africa,,上海,2024.06.15 周六 20:00,180,https://detail.damai.com/item.htm?id=801163653551&clicktitle=上海｜6.7 &6.15 爵士之夜，非洲风情！燃情演绎Sound of Africa
《光辉岁月·见证 BEYOND 追忆家驹31周年演唱会济宁站》,,济宁,2024.06.29 周六 20:00,98-480,https://detail.damai.com/item.htm?id=782736295781&clicktitle=《光辉岁月·见证 BEYOND 追忆家驹31周年演唱会济宁站》
莉莉周她说+孔雀眼 | 旺来大排档南京站,,南京,2024.07.06 周六 20:00,138-258,https://detail.damai.com/item.htm?id=793268679538&clicktitle=莉莉周她说+孔雀眼 | 旺来大排档南京站
国蛋GorDoN夜热 Night Fever Tour 2024 杭州站,,杭州,2024.06.15 周六 20:00,180-380,https://detail.damai.com/item.htm?id=798053196966&clicktitle=国蛋GorDoN夜热 Night Fever Tour 2024 杭州站
LikeKpop「BTS十一周年Army派对」合肥站,,合肥,2024.06.15 周六 19:30,77-377,https://detail.damai.com/item.htm?id=784386485596&clicktitle=LikeKpop「BTS十一周年Army派对」合肥站
动物园钉子户「出发！浅滩公路疾行」2024巡演 西宁站,艺人：动物园钉子户,西宁,2024.07.19 周五 20:30,100-120,https://detail.damai.com/item.htm?id=794760495495&clicktitle=动物园钉子户「出发！浅滩公路疾行」2024巡演 西宁站
6.19-21｜NUBOND AIR｜「众声集」乐队拼盘演出,,深圳,2024.06.19-06.21,70-240,https://detail.damai.com/item.htm?id=801203259961&clicktitle=6.19-21｜NUBOND AIR｜「众声集」乐队拼盘演出
昨日的聚会——惘闻25周年 巡演 大连站,艺人：惘闻乐队,大连,2024.07.14 周日 20:00,160-220,https://detail.damai.com/item.htm?id=788684353590&clicktitle=昨日的聚会——惘闻25周年 巡演 大连站
LACRIMOSA以泪洗面2024《激情》巡演 北京站,,北京,2024.06.13 周四 20:00,380-980,https://detail.damai.com/item.htm?id=800478614103&clicktitle=LACRIMOSA以泪洗面2024《激情》巡演 北京站
六甲番乐队「天南海北来做桌」广州特别专场,,广州,2024.06.16 周日 20:00,30-120,https://detail.damai.com/item.htm?id=802516211334&clicktitle=六甲番乐队「天南海北来做桌」广州特别专场
2024致敬BEYOND40周年·延续和平与爱巡回演唱会,,郑州,2024.10.17 周四 19:30,80-488,https://detail.damai.com/item.htm?id=776245802853&clicktitle=2024致敬BEYOND40周年·延续和平与爱巡回演唱会
国蛋GorDoN夜热 Night Fever Tour 2024 南京站,,南京,2024.06.16 周日 20:00,180-380,https://detail.damai.com/item.htm?id=797381786210&clicktitle=国蛋GorDoN夜热 Night Fever Tour 2024 南京站
林肯公园&新金属 摇滚致敬音乐会,,上海,2024.06.15 周六 21:30,150,https://detail.damai.com/item.htm?id=798077700209&clicktitle=林肯公园&新金属 摇滚致敬音乐会
斯丹曼簇单身记 新专辑首唱会,,成都,2024.06.21 周五 20:00,138-298,https://detail.damai.com/item.htm?id=796758294683&clicktitle=斯丹曼簇单身记 新专辑首唱会
【全坐席】日本指弹艺术家 GIN 新专辑「Rain」演奏会 长沙站,艺人：GIN,长沙,2024.06.23 周日 14:00,220-380,https://detail.damai.com/item.htm?id=781560146170&clicktitle=【全坐席】日本指弹艺术家 GIN 新专辑「Rain」演奏会 长沙站
K.P.N西安【SM家族】专场派对 | KPOP PARTY NIGHT,,西安,2024.06.28 周五 20:00,88-138,https://detail.damai.com/item.htm?id=803482336441&clicktitle=K.P.N西安【SM家族】专场派对 | KPOP PARTY NIGHT
LikeKpop「BTS十一周年Army派对」长沙站,,长沙,2024.06.21 周五 19:30,77-377,https://detail.damai.com/item.htm?id=791494236085&clicktitle=LikeKpop「BTS十一周年Army派对」长沙站
Groove Coverage舞动精灵乐团2024中国巡演-上海站,艺人：舞动精灵乐团 （Groove Coverage）,上海,2024.07.12 周五 20:00,280-680,https://detail.damai.com/item.htm?id=779630965427&clicktitle=Groove Coverage舞动精灵乐团2024中国巡演-上海站
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(昆明站）,,昆明,2024.07.13 周六 20:00,98-399,https://detail.damai.com/item.htm?id=796088362881&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(昆明站）
【TayMe呈现】Taylor Swift时代金曲演唱会·3大歌手联袂盛装演绎+钢琴助演（温州站）,,温州,2024.06.29 周六 20:00,128-288,https://detail.damai.com/item.htm?id=794837686408&clicktitle=【TayMe呈现】Taylor Swift时代金曲演唱会·3大歌手联袂盛装演绎+钢琴助演（温州站）
刘炫廷「NOBODY」2024巡演 沈阳站,艺人：刘炫廷,沈阳,2024.06.14 周五 20:00,198-298,https://detail.damai.com/item.htm?id=790600353952&clicktitle=刘炫廷「NOBODY」2024巡演 沈阳站
LikeKpop「BTS十一周年Army派对」大连站,,大连,2024.07.05 周五 19:30,77-377,https://detail.damai.com/item.htm?id=788264036757&clicktitle=LikeKpop「BTS十一周年Army派对」大连站
井草圣二 2024《夏日独白》指弹吉他音乐会 长沙站,,长沙,2024.08.03 周六 19:30,260-480,https://detail.damai.com/item.htm?id=800303753972&clicktitle=井草圣二 2024《夏日独白》指弹吉他音乐会 长沙站
暗杠「走歌人2024」巡演 武汉站,艺人：暗杠,武汉,2024.07.28 周日 20:00,128-298,https://detail.damai.com/item.htm?id=785798816910&clicktitle=暗杠「走歌人2024」巡演 武汉站
张泽「张嘴就来2024」BEATBOX巡演（长春站）BBOX,艺人：BEATBOX 张泽,长春,2024.08.03 周六 20:00,158-888,https://detail.damai.com/item.htm?id=797703574984&clicktitle=张泽「张嘴就来2024」BEATBOX巡演（长春站）BBOX
新西兰治愈系民谣歌手Luke Thompson2024中国巡演 KEEP ROLLING ON,艺人：Luke Thompson,合肥,2024.08.02 周五 20:00,180-380,https://detail.damai.com/item.htm?id=800389302115&clicktitle=新西兰治愈系民谣歌手Luke Thompson2024中国巡演 KEEP ROLLING ON
日爵都市流行BLU-SWING新专辑「Panorama」| 2024巡演 杭州站,,杭州,2024.06.21 周五 20:00,198-380,https://detail.damai.com/item.htm?id=797894986004&clicktitle=日爵都市流行BLU-SWING新专辑「Panorama」| 2024巡演 杭州站
倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(西安站）,,西安,2024.07.27 周六 20:00,98-599,https://detail.damai.com/item.htm?id=800910304041&clicktitle=倒带2007·青春日不落演唱会——一键回到华语乐坛黄金年代(西安站）
6.15｜夜猫俱乐部HIHIPHOP高校说唱派对x地下8英里大说浙江赛区预热站点,,杭州,2024.06.15-06.16,68-320,https://detail.damai.com/item.htm?id=803429097711&clicktitle=6.15｜夜猫俱乐部HIHIPHOP高校说唱派对x地下8英里大说浙江赛区预热站点
《ALL YOU NEED IS LOVE 致敬披头士乐队演唱会》,,温州,2024.06.25 周二 19:30,80-580,https://detail.damai.com/item.htm?id=783164496804&clicktitle=《ALL YOU NEED IS LOVE 致敬披头士乐队演唱会》
「POPpa泡泡趴」梦想高飞｜Kpop Cpop Apop（长沙特别返场）,,长沙,2024.06.23 周日 19:00,60-280,https://detail.damai.com/item.htm?id=797382662662&clicktitle=「POPpa泡泡趴」梦想高飞｜Kpop Cpop Apop（长沙特别返场）
「LikeKpop」暑期特辑 千人室内Kpop派对 杭州站,,杭州,2024.07.20 周六 19:30,69-359,https://detail.damai.com/item.htm?id=795143362266&clicktitle=「LikeKpop」暑期特辑 千人室内Kpop派对 杭州站
黄小琥以歌会友演唱会,,中国澳门,2024.07.20 周六 20:00,480-1380,https://detail.damai.com/item.htm?id=798548303150&clicktitle=黄小琥以歌会友演唱会
保利城市岛屿音乐季 许飞2024《生活不必太用力》巡回演出（中剧场）,,重庆,2024.06.26 周三 19:30,40-280,https://detail.damai.com/item.htm?id=774477282693&clicktitle=保利城市岛屿音乐季 许飞2024《生活不必太用力》巡回演出（中剧场）
怪兽计划乐队『请瞄准我的心脏』2024巡演 合肥站,,合肥,2024.06.22 周六 20:00,68-88,https://detail.damai.com/item.htm?id=799602658231&clicktitle=怪兽计划乐队『请瞄准我的心脏』2024巡演 合肥站
追忆家驹致敬Beyond Unplugged不插电演唱会 四会站,,肇庆,2024.07.07 周日 20:00,58-298,https://detail.damai.com/item.htm?id=786936025022&clicktitle=追忆家驹致敬Beyond Unplugged不插电演唱会 四会站
悲伤玩具2024「至少我们会听同一首歌」巡演 苏州站,艺人：悲伤玩具,苏州,2024.06.30 周日 20:00,100-120,https://detail.damai.com/item.htm?id=797187020334&clicktitle=悲伤玩具2024「至少我们会听同一首歌」巡演 苏州站
「万朵」—春日玫瑰2024新专辑巡演 南宁站,艺人：春日玫瑰,南宁,2024.06.23 周日 20:00,100-150,https://detail.damai.com/item.htm?id=794502198964&clicktitle=「万朵」—春日玫瑰2024新专辑巡演 南宁站
2024往事如风 ——小娟&山谷里的居民《悠春小叙》黄山南屏村实景音乐会,,黄山,2024.06.13-06.14,350-1988,https://detail.damai.com/item.htm?id=799520822633&clicktitle=2024往事如风 ——小娟&山谷里的居民《悠春小叙》黄山南屏村实景音乐会
刘莉旻「下一站，嘉禾望岗」2024全国巡演珠海站,艺人：刘莉旻,珠海,2024.06.15 周六 20:00,120-266,https://detail.damai.com/item.htm?id=785917008466&clicktitle=刘莉旻「下一站，嘉禾望岗」2024全国巡演珠海站
「5秒盛夏」葡萄不愤怒+A公馆+刻奇,艺人：葡萄不愤怒、A公馆乐队,北京,2024.06.15 周六 20:00,139-259,https://detail.damai.com/item.htm?id=780541344829&clicktitle=「5秒盛夏」葡萄不愤怒+A公馆+刻奇
坏特 ?te《?te》2024 北京专场,,北京,2024.07.21 周日 20:00,120-180,https://detail.damai.com/item.htm?id=800611129721&clicktitle=坏特 ?te《?te》2024 北京专场
「千万亿个梦」贰佰2024新专辑巡演 第二轮 南昌站,,南昌,2024.09.06 周五 20:00,150-180,https://detail.damai.com/item.htm?id=800959779667&clicktitle=「千万亿个梦」贰佰2024新专辑巡演 第二轮 南昌站
【龙王夜游】钢心乐队2024全国巡演 济南站,,济南,2024.06.13 周四 20:30,160,https://detail.damai.com/item.htm?id=799403237429&clicktitle=【龙王夜游】钢心乐队2024全国巡演 济南站
霉霉新专特辑【TTPD】——Taylor Swift专场｜受尽折磨的诗人部门,,上海,2024.06.22 周六 20:00,68-188,https://detail.damai.com/item.htm?id=784696080454&clicktitle=霉霉新专特辑【TTPD】——Taylor Swift专场｜受尽折磨的诗人部门
新西兰治愈系民谣歌手Luke Thompson2024中国巡演 KEEP ROLLING ON,艺人：Luke Thompson,苏州,2024.08.04 周日 20:00,180-380,https://detail.damai.com/item.htm?id=802960998256&clicktitle=新西兰治愈系民谣歌手Luke Thompson2024中国巡演 KEEP ROLLING ON
天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 深圳站,,深圳,2024.06.21 周五 20:00,180-480,https://detail.damai.com/item.htm?id=783553612882&clicktitle=天才归来 | 千贺太郎Taro Aika's Special Band 2024中国巡演 深圳站
《极光乐队- 致敬BEYOND40周年延续和平与爱巡回演唱会》-广州站,,广州,2024.06.15 周六 19:30,99-380,https://detail.damai.com/item.htm?id=777829092285&clicktitle=《极光乐队- 致敬BEYOND40周年延续和平与爱巡回演唱会》-广州站
北京·2024安子与九妹「龙抬头」巡演北京站,艺人：安子与九妹,北京,2024.06.22-06.23,180-480,https://detail.damai.com/item.htm?id=784220894467&clicktitle=北京·2024安子与九妹「龙抬头」巡演北京站
赵鹏“行吟2024·拥抱”巡演十周年纪念音乐会,艺人：赵鹏,重庆,2024.08.10 周六 20:00,199-699,https://detail.damai.com/item.htm?id=773916026655&clicktitle=赵鹏“行吟2024·拥抱”巡演十周年纪念音乐会
